,time,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,risk
116,2023-03-14,-2.0,-4.3,84.6,1.0,300.3,6.6,1007.2,15.0,1
117,2023-03-15,-2.2,-5.0,82.6,3.0,274.8,11.0,1012.6,15.0,1
118,2023-03-16,-3.8,-7.2,78.9,0.0,19.2,7.5,1025.4,5.0,1
119,2023-03-17,-1.0,-5.5,72.6,0.0,75.4,7.5,1022.9,3.0,2
120,2023-03-18,1.4,-2.7,75.1,0.0,58.9,7.0,1019.9,3.0,1
121,2023-03-19,2.0,-2.5,72.5,0.0,71.0,7.6,1012.4,3.0,1
122,2023-03-20,2.3,-1.4,77.4,10.3,351.1,3.9,1003.6,16.0,1
123,2023-03-21,2.3,-0.5,84.2,0.0,313.2,5.9,1007.7,5.0,1
124,2023-03-22,3.8,-7.8,45.3,0.0,29.4,2.9,1007.9,2.0,1
125,2023-03-23,1.2,-2.4,78.9,3.9,302.7,6.4,1010.1,15.0,2
126,2023-03-24,-3.4,-5.1,88.1,2.7,266.9,10.9,1014.8,15.0,2
127,2023-03-25,-3.5,-5.5,86.0,2.9,277.4,8.2,1019.3,16.0,1
128,2023-03-26,-2.6,-5.9,78.6,0.1,285.8,7.3,1021.2,21.0,1
129,2023-03-27,-1.9,-5.5,77.5,0.0,1.7,5.7,1022.5,5.0,1
130,2023-03-28,-0.2,-6.7,61.7,0.0,95.2,14.5,1012.3,3.0,1
131,2023-03-29,1.9,-4.6,65.0,1.1,49.1,6.0,1008.7,15.0,1
132,2023-03-30,1.9,-4.8,62.9,0.0,283.9,7.8,1007.6,3.0,1
133,2023-03-31,-0.3,-3.6,78.2,2.1,291.4,10.3,1010.3,15.0,2
134,2023-04-01,-1.9,-3.3,90.3,14.4,286.7,8.7,1008.0,21.0,2
135,2023-04-02,-3.0,-4.9,86.7,2.7,297.0,5.6,1009.5,21.0,1
136,2023-04-03,-3.4,-4.8,90.0,0.9,275.8,7.5,1011.2,14.0,1
137,2023-04-04,-2.5,-4.6,85.9,0.3,294.7,5.9,1015.1,19.0,1
138,2023-04-05,-1.0,-4.4,79.1,0.1,328.1,3.1,1019.4,21.0,1
139,2023-04-06,0.4,-2.3,83.0,1.5,64.3,5.8,1014.7,5.0,1
140,2023-04-07,2.8,1.6,91.9,5.6,35.1,5.8,1009.5,14.0,1
141,2023-04-08,1.2,-0.6,87.9,1.8,354.9,4.1,1013.2,7.0,3
142,2023-04-09,2.4,1.2,91.7,10.6,36.7,3.2,1017.1,12.0,2
143,2023-04-10,2.8,1.8,93.0,22.6,291.6,4.9,1016.7,15.0,1
144,2023-04-11,-1.1,-2.4,90.6,8.7,267.5,8.8,1012.2,21.0,1
145,2023-04-12,-2.0,-4.4,83.8,0.5,322.2,4.0,1015.1,21.0,1
146,2023-04-13,-1.1,-4.6,78.3,0.0,277.7,7.5,1015.2,5.0,1
147,2023-04-14,0.6,-3.7,75.4,0.0,279.2,5.6,1013.3,5.0,0
148,2023-04-15,2.2,-3.0,69.0,0.3,51.9,4.4,1018.2,7.0,1
149,2023-04-16,0.7,-2.7,78.7,3.9,90.4,7.2,1015.2,15.0,-1
